PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;RAYONNEMENT NET

UHRH ID; ALBEDO (0.23 SURFACE REFERENCE); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT A); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT B); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT C); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT A); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT B); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT C); EMISSIVITE DE LA SURFACE (COEFFICIENT A); EMISSIVITE DE LA SURFACE (COEFFICIENT B)
214;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
215;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
216;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
217;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
218;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
219;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
220;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
221;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
222;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
223;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
224;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
225;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
226;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
227;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
228;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
229;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
230;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
231;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
232;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
233;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
234;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
235;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
236;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
237;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
238;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
239;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
240;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
241;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
242;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
243;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
244;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
245;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
246;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
247;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
248;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
249;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
250;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
